"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: kind","Param: offset","Param: size"
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,179051.244398,NaN,"ns/op",sortedset,0.5,1000
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,1825234.378992,NaN,"ns/op",sortedset,0.5,10000
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,28289295.422601,NaN,"ns/op",sortedset,0.5,100000
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,26.753594,NaN,"ns/op",sortedset,1.0,1
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,314.369400,NaN,"ns/op",sortedset,1.0,10
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,4827.875437,NaN,"ns/op",sortedset,1.0,100
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,98847.036483,NaN,"ns/op",sortedset,1.0,1000
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,1167755.317536,NaN,"ns/op",sortedset,1.0,10000
"com.rklaehn.abc.SetCreateAccessBench.diff","avgt",1,2,24443405.317073,NaN,"ns/op",sortedset,1.0,100000
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,49.917065,NaN,"ns/op",arrayset,0.0,1
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,87.631428,NaN,"ns/op",arrayset,0.0,10
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,522.690654,NaN,"ns/op",arrayset,0.0,100
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,8369.707880,NaN,"ns/op",arrayset,0.0,1000
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,86599.367205,NaN,"ns/op",arrayset,0.0,10000
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,505000.606653,NaN,"ns/op",arrayset,0.0,100000
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,48.041709,NaN,"ns/op",arrayset,0.5,1
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,151.699886,NaN,"ns/op",arrayset,0.5,10
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,969.925652,NaN,"ns/op",arrayset,0.5,100
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,11833.150050,NaN,"ns/op",arrayset,0.5,1000
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,122304.845043,NaN,"ns/op",arrayset,0.5,10000
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,513314.637032,NaN,"ns/op",arrayset,0.5,100000
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,64.150938,NaN,"ns/op",arrayset,1.0,1
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,169.672669,NaN,"ns/op",arrayset,1.0,10
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,1348.349978,NaN,"ns/op",arrayset,1.0,100
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,14266.291757,NaN,"ns/op",arrayset,1.0,1000
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,148199.569780,NaN,"ns/op",arrayset,1.0,10000
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,723437.025566,NaN,"ns/op",arrayset,1.0,100000
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,4.027739,NaN,"ns/op",hashset,0.0,1
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,48.262273,NaN,"ns/op",hashset,0.0,10
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,485.302278,NaN,"ns/op",hashset,0.0,100
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,4940.916628,NaN,"ns/op",hashset,0.0,1000
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,88333.506945,NaN,"ns/op",hashset,0.0,10000
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,963295.513377,NaN,"ns/op",hashset,0.0,100000
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,4.029407,NaN,"ns/op",hashset,0.5,1
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,87.118537,NaN,"ns/op",hashset,0.5,10
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,1505.516507,NaN,"ns/op",hashset,0.5,100
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,14004.517038,NaN,"ns/op",hashset,0.5,1000
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,201754.865001,NaN,"ns/op",hashset,0.5,10000
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,3134758.973621,NaN,"ns/op",hashset,0.5,100000
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,3.796277,NaN,"ns/op",hashset,1.0,1
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,60.681097,NaN,"ns/op",hashset,1.0,10
